date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Philadelphia,16,-6.0,L,1,-7.0
10/24,away,New York,8,4.0,L,10,-6.0
10/26,away,Detroit,4,2.5,L,6,-3.5
10/27,away,New Orleans,27,-4.5,W,32,27.5
10/29,home,Cleveland,9,3.5,W,20,23.5
10/31,away,Philadelphia,16,-1.5,W,1,-0.5
11/01,home,Houston,2,4.5,L,27,-22.5
11/03,home,Utah,26,-10.5,L,2,-12.5
11/05,home,Washington,30,-12.5,W,29,16.5
11/07,away,Orlando,12,3.5,L,13,-9.5
11/09,away,Orlando,12,3.5,W,4,7.5
11/11,away,Philadelphia,16,-1.5,L,2,-3.5
11/12,home,Memphis,19,-8.5,W,36,27.5
11/16,home,LA Clippers,18,-5.5,W,3,-2.5
11/18,away,Brooklyn,25,-11.5,W,14,2.5
11/21,home,Brooklyn,25,-14.5,L,8,-22.5
11/23,home,Orlando,12,-4.5,W,9,4.5
11/26,home,Detroit,4,2.5,W,3,5.5
11/29,away,Minnesota,7,5.5,L,4,1.5
11/30,away,Cleveland,9,7.5,W,2,9.5
12/02,home,New York,8,1.5,W,6,7.5
12/04,away,Washington,30,-10.5,W,45,34.5
12/05,home,LA Lakers,14,-8.5,W,21,12.5
12/07,away,Toronto,15,-3.5,W,8,4.5
12/11,away,Milwaukee,21,-9.5,L,15,-24.5
12/15,home,Detroit,4,-1.5,L,7,-8.5
12/19,home,Miami,11,-7.5,W,13,5.5
12/20,away,Toronto,15,1.5,W,16,17.5
12/22,home,Indiana,28,-11.5,W,8,-3.5
12/26,away,Indiana,28,-8.5,W,18,9.5
12/28,away,Portland,20,-7.5,L,6,-13.5
12/30,away,Utah,26,-8.5,W,10,1.5
01/01,away,Sacramento,29,-10.5,W,14,3.5
01/03,away,LA Clippers,18,1.5,W,31,32.5
01/05,home,Chicago,24,-10.5,W,14,3.5
01/07,home,Denver,3,-9.5,L,4,-13.5
