date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,New Orleans,25,-4.0,W,6,2.0
10/24,home,Miami,12,-3.0,L,32,-35.0
10/25,home,Indiana,26,-2.0,W,25,23.0
10/27,away,Golden State,9,8.0,L,13,-5.0
10/29,away,Phoenix,11,-2.0,W,1,-1.0
10/31,home,LA Lakers,16,1.5,L,5,-3.5
11/02,away,Toronto,13,4.5,L,13,-8.5
11/03,home,Detroit,3,4.0,L,8,-4.0
11/05,home,Houston,2,7.5,L,15,-7.5
11/07,home,Dallas,22,-4.5,W,14,9.5
11/09,home,Okla City,1,10.5,L,14,-3.5
11/11,away,New York,7,9.5,L,13,-3.5
11/12,away,Boston,4,8.5,L,36,-27.5
11/15,away,Cleveland,10,10.5,L,8,2.5
11/18,away,San Antonio,5,6.5,L,10,-3.5
11/20,home,Sacramento,27,-3.5,W,41,37.5
11/22,away,Dallas,22,1.5,W,6,7.5
11/24,home,Denver,6,6.5,L,10,-3.5
11/26,away,New Orleans,25,-3.5,W,5,1.5
11/28,away,LA Clippers,15,6.5,W,5,11.5
11/30,away,Sacramento,27,-3.5,W,8,4.5
12/02,away,San Antonio,5,5.5,L,7,-1.5
12/05,home,LA Clippers,15,2.5,W,9,11.5
12/07,home,Portland,19,-1.5,W,23,21.5
12/12,home,Utah,28,-7.5,L,4,-11.5
12/15,away,LA Clippers,15,5.5,W,18,23.5
12/17,away,Minnesota,8,6.5,W,6,12.5
12/20,home,Washington,30,-12.5,L,8,-20.5
12/22,away,Okla City,1,15.5,L,16,-0.5
12/23,away,Utah,28,-4.5,W,9,4.5
12/26,home,Milwaukee,23,-5.5,W,21,15.5
12/28,away,Washington,30,-7.5,L,4,-11.5
12/30,home,Philadelphia,14,1.5,L,3,-1.5
01/02,away,LA Lakers,16,5.5,L,7,-1.5
01/04,away,LA Lakers,16,5.5,L,6,-0.5
01/06,home,San Antonio,5,5.5,W,1,6.5
01/07,home,Phoenix,11,5.5,L,19,-13.5
01/09,home,Okla City,1,5.5,L,1,4.5
01/11,home,Brooklyn,29,-7.5,W,5,-2.5
01/15,neutral,Orlando,17,5.5,L,7,-1.5
01/18,neutral,Orlando,17,3.5,W,17,20.5
01/21,home,Atlanta,18,-1.5,L,2,-3.5
01/23,home,New Orleans,25,-5.5,L,6,-11.5
01/26,away,Houston,2,11.5,L,9,2.5
