date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,away,Milwaukee,21,10.0,L,13,-3.0
10/24,away,Dallas,23,9.0,W,10,19.0
10/26,home,Charlotte,22,-1.5,L,26,-27.5
10/28,home,Philadelphia,13,4.5,L,5,-0.5
10/30,away,Okla City,1,15.5,L,19,-3.5
11/01,home,Orlando,12,9.0,L,31,-22.0
11/03,away,New York,7,13.0,L,17,-4.0
11/05,away,Boston,6,12.5,L,29,-16.5
11/07,home,Cleveland,9,13.5,L,33,-19.5
11/08,home,Dallas,23,4.5,L,6,-1.5
11/10,away,Detroit,4,10.5,L,2,8.5
11/12,away,Houston,2,16.5,L,23,-6.5
11/16,home,Brooklyn,26,-2.5,L,23,-25.5
11/19,away,Minnesota,8,16.5,L,11,5.5
11/21,away,Toronto,16,14.5,L,30,-15.5
11/22,away,Chicago,24,12.5,L,1,11.5
11/25,home,Atlanta,15,10.5,W,19,29.5
11/28,away,Indiana,25,6.5,L,33,-26.5
12/01,home,Milwaukee,21,10.5,W,3,13.5
12/02,away,Philadelphia,13,13.5,L,19,-5.5
12/04,home,Boston,6,10.5,L,45,-34.5
12/06,home,Atlanta,15,9.5,L,15,-5.5
12/12,home,Cleveland,9,16.5,L,4,12.5
12/14,away,Indiana,25,10.5,W,19,29.5
12/18,away,San Antonio,5,15.5,L,25,-9.5
12/20,away,Memphis,19,12.5,W,8,20.5
12/21,home,San Antonio,5,16.5,L,11,5.5
12/23,away,Charlotte,22,6.5,L,17,-10.5
12/26,home,Toronto,16,8.5,W,21,29.5
12/28,home,Memphis,19,7.5,W,4,11.5
12/29,home,Phoenix,11,10.5,L,14,-3.5
12/31,away,Milwaukee,21,10.5,W,1,11.5
01/02,home,Brooklyn,26,-2.5,W,20,17.5
01/04,home,Minnesota,8,10.5,L,26,-15.5
01/06,home,Orlando,12,7.5,W,8,15.5
01/07,away,Philadelphia,13,16.5,L,21,-4.5
01/09,home,New Orleans,27,3.5,L,21,-17.5
01/11,away,Phoenix,11,14.5,L,19,-4.5
