date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/23,away,Golden State,10,1.5,L,6,-4.5
10/25,home,Phoenix,11,-13.0,W,22,9.0
10/27,away,Minnesota,7,-6.0,W,13,7.0
10/29,home,New Orleans,25,-12.5,W,34,21.5
10/31,away,Portland,21,-5.5,L,2,-7.5
11/03,home,Sacramento,27,-11.5,W,6,-5.5
11/05,home,Miami,12,-9.5,W,10,0.5
11/07,home,Golden State,10,-9.5,W,25,15.5
11/08,home,Indiana,26,-9.5,W,17,7.5
11/11,away,Sacramento,27,-8.5,W,14,5.5
11/12,away,LA Clippers,14,-4.5,W,14,9.5
11/15,away,Minnesota,7,-1.5,W,11,9.5
11/17,home,Chicago,24,-13.5,L,3,-16.5
11/19,away,New Orleans,25,-11.5,W,7,-4.5
11/21,away,Houston,2,3.5,W,3,6.5
11/22,home,Sacramento,27,-10.5,L,5,-15.5
11/24,away,Memphis,20,-6.5,W,10,3.5
11/28,home,San Antonio,6,-7.5,L,3,-10.5
11/29,away,Phoenix,11,-3.5,W,18,14.5
12/01,home,Dallas,22,-11.5,L,10,-21.5
12/03,away,Indiana,26,-8.5,W,15,6.5
12/05,away,Atlanta,17,-3.5,W,1,-2.5
12/07,away,Charlotte,19,-10.5,W,9,-1.5
12/11,away,Sacramento,27,-10.5,W,31,20.5
12/15,home,Houston,2,1.5,W,3,4.5
12/18,home,Orlando,18,-6.5,W,11,4.5
12/20,home,Houston,2,-1.5,L,14,-15.5
12/22,home,Utah,29,-12.5,W,23,10.5
12/23,away,Dallas,22,-6.5,L,1,-7.5
12/25,home,Minnesota,7,-1.5,W,4,2.5
12/27,away,Orlando,18,-3.5,L,1,-4.5
12/29,away,Miami,12,-1.5,L,24,-25.5
12/31,away,Toronto,16,7.5,W,3,10.5
01/02,away,Cleveland,9,13.5,L,5,8.5
01/04,away,Brooklyn,28,-2.5,L,12,-14.5
01/05,away,Philadelphia,13,14.5,W,1,15.5
01/07,away,Boston,5,9.5,W,4,13.5
01/09,home,Atlanta,17,3.5,L,23,-19.5
01/11,home,Milwaukee,23,6.5,W,4,10.5
01/13,away,New Orleans,25,-2.5,W,6,3.5
01/14,away,Dallas,22,1.5,W,9,10.5
01/17,home,Washington,30,-10.5,W,6,-4.5
01/18,home,Charlotte,19,2.5,L,23,-20.5
01/20,home,LA Lakers,15,3.5,L,8,-4.5
01/22,away,Washington,30,-6.5,W,10,3.5
01/23,away,Milwaukee,23,7.5,W,2,9.5
01/27,home,Detroit,3,7.5,L,2,5.5
01/29,home,Brooklyn,28,-6.5,W,4,-2.5
01/30,home,LA Clippers,14,2.5,W,13,15.5
02/01,home,Okla City,1,7.5,L,10,-2.5
02/03,away,Detroit,3,5.5,L,3,2.5
