date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/21,away,Okla City,1,6.5,L,1,5.5
10/24,home,Detroit,6,-6.5,L,4,-10.5
10/27,home,Brooklyn,27,-16.0,W,28,12.0
10/29,away,Toronto,15,-5.5,W,18,12.5
11/01,away,Boston,8,-4.5,W,27,22.5
11/03,home,Dallas,22,-12.0,W,8,-4.0
11/05,away,Memphis,18,-7.5,W,15,7.5
11/07,away,San Antonio,5,-4.5,L,11,-15.5
11/09,away,Milwaukee,21,-3.5,W,7,3.5
11/12,home,Washington,30,-16.5,W,23,6.5
11/14,home,Portland,20,-7.5,W,24,16.5
11/16,home,Orlando,9,-7.5,W,4,-3.5
11/19,away,Cleveland,11,-1.5,W,10,8.5
11/21,home,Denver,2,-3.5,L,3,-6.5
11/24,away,Phoenix,14,-6.5,W,22,15.5
11/26,away,Golden State,10,3.5,W,4,7.5
11/30,away,Utah,29,-11.5,W,28,16.5
12/01,away,Utah,29,-11.5,L,8,-19.5
12/03,home,Sacramento,26,-15.5,W,26,10.5
12/05,home,Phoenix,14,-9.5,W,19,9.5
12/06,away,Dallas,22,-6.5,L,13,-19.5
12/11,home,LA Clippers,19,-8.5,W,2,-6.5
12/15,away,Denver,2,-1.5,L,3,-4.5
12/18,away,New Orleans,25,-9.5,L,5,-14.5
12/20,away,Denver,2,1.5,W,14,15.5
12/21,away,Sacramento,26,-12.5,L,1,-13.5
12/23,away,LA Clippers,19,-7.5,L,20,-27.5
12/25,away,LA Lakers,12,-2.5,W,23,20.5
