date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,away,Chicago,23,-3.0,L,4,-7.0
10/24,away,Houston,2,6.5,W,4,10.5
10/26,home,Boston,4,-2.5,W,6,3.5
10/27,home,Cleveland,9,2.0,L,21,-19.0
10/29,home,Orlando,16,1.5,W,19,20.5
11/01,neutral,Dallas,22,-7.5,W,12,4.5
11/03,away,Memphis,20,-4.0,W,8,4.0
11/05,home,Utah,29,-9.5,W,11,1.5
11/07,away,Brooklyn,28,-10.5,W,18,7.5
11/09,away,Philadelphia,14,-4.5,W,3,-1.5
11/10,home,Washington,30,-10.5,W,2,-8.5
11/12,home,Chicago,23,2.5,W,11,13.5
11/14,home,Philadelphia,14,-1.5,W,9,7.5
11/17,home,Indiana,26,-8.5,W,15,6.5
11/18,away,Atlanta,18,-1.5,W,8,6.5
11/22,away,Milwaukee,24,-8.5,W,13,4.5
11/24,away,Indiana,26,-9.5,W,5,-4.5
11/26,away,Boston,4,-2.5,L,3,-5.5
11/28,home,Orlando,16,-3.5,L,3,-6.5
11/29,away,Miami,12,3.5,W,3,6.5
12/01,home,Atlanta,18,-9.5,W,1,-8.5
12/03,away,Milwaukee,24,-4.5,L,4,-8.5
12/05,home,Portland,21,-8.5,W,6,-2.5
12/06,home,Milwaukee,24,-12.5,W,12,-0.5
12/12,home,Atlanta,18,-6.5,W,27,20.5
12/15,away,Boston,4,1.5,W,7,8.5
12/18,away,Dallas,22,-5.5,L,2,-7.5
12/20,home,Charlotte,19,-10.5,W,26,15.5
12/22,away,Portland,21,-6.5,W,8,1.5
12/23,away,Sacramento,27,-9.5,W,9,-0.5
12/26,away,Utah,29,-9.5,L,2,-11.5
12/28,away,LA Clippers,13,-3.5,L,13,-16.5
12/30,away,LA Lakers,17,-2.5,W,22,19.5
01/01,home,Miami,12,-4.5,L,6,-10.5
01/04,away,Cleveland,9,2.5,W,4,6.5
01/05,home,New York,6,1.5,W,31,32.5
01/07,home,Chicago,23,-7.5,W,15,7.5
01/10,home,LA Clippers,13,-1.5,L,6,-7.5
01/15,home,Phoenix,11,-7.5,W,3,-4.5
01/17,home,Indiana,26,-15.5,W,43,27.5
01/19,home,Boston,4,-2.5,W,1,-1.5
01/21,away,New Orleans,25,-9.5,W,8,-1.5
01/23,home,Houston,2,-4.5,L,7,-11.5
01/25,home,Sacramento,27,-12.5,W,23,10.5
01/27,away,Denver,8,-7.5,W,2,-5.5
01/29,away,Phoenix,11,-3.5,L,18,-21.5
01/30,away,Golden State,10,2.5,W,7,9.5
02/01,home,Brooklyn,28,-13.5,W,53,39.5
