date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,away,Charlotte,24,5.0,L,19,-14.0
10/24,home,Cleveland,9,11.5,L,7,4.5
10/26,away,San Antonio,5,11.0,L,11,0.0
10/27,away,Houston,2,16.0,L,28,-12.0
10/29,home,Atlanta,16,8.0,L,5,3.0
11/02,home,Philadelphia,18,4.5,L,24,-19.5
11/03,home,Minnesota,8,10.0,L,16,-6.0
11/05,away,Indiana,28,6.5,W,9,15.5
11/07,home,Detroit,6,10.5,L,18,-7.5
11/09,away,New York,4,15.5,L,36,-20.5
11/11,home,Toronto,17,10.5,L,10,0.5
11/14,away,Orlando,11,14.5,L,7,7.5
11/16,away,Washington,30,2.5,W,23,25.5
11/18,home,Boston,7,11.5,L,14,-2.5
11/21,away,Boston,7,14.5,W,8,22.5
11/23,away,Toronto,17,12.5,L,10,2.5
11/24,home,New York,4,12.5,L,13,-0.5
11/28,home,Philadelphia,18,7.5,L,12,-4.5
11/29,away,Milwaukee,21,11.5,L,17,-5.5
12/01,home,Charlotte,24,4.5,W,13,17.5
12/03,away,Chicago,23,7.5,W,10,17.5
12/04,home,Utah,26,5.5,L,13,-7.5
12/06,home,New Orleans,25,-3.5,W,18,14.5
12/12,away,Dallas,22,7.5,L,8,-0.5
12/14,home,Milwaukee,21,2.5,W,45,47.5
12/18,home,Miami,10,8.5,L,11,-2.5
12/21,home,Toronto,17,3.5,W,15,18.5
12/23,away,Philadelphia,18,9.5,W,8,17.5
12/27,away,Minnesota,8,12.5,W,16,28.5
12/29,home,Golden State,12,6.5,L,13,-6.5
01/01,home,Houston,2,13.5,L,24,-10.5
01/02,away,Washington,30,2.5,L,20,-17.5
