date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,away,Atlanta,17,5.5,W,20,25.5
10/24,home,Milwaukee,21,-2.0,L,6,-8.0
10/26,away,Dallas,22,-1.0,L,10,-11.0
10/27,away,San Antonio,6,4.5,L,18,-13.5
10/29,home,Houston,2,5.5,L,18,-12.5
10/31,away,Cleveland,9,4.5,W,11,15.5
11/02,home,Memphis,19,-4.5,W,13,8.5
11/04,home,Milwaukee,21,-2.5,W,28,25.5
11/07,away,Atlanta,17,2.5,W,12,14.5
11/08,away,Philadelphia,16,5.5,L,10,-4.5
11/11,away,Brooklyn,25,-10.5,W,10,-0.5
11/13,away,Cleveland,9,7.5,W,13,20.5
11/15,away,Indiana,28,-6.5,W,18,11.5
11/17,home,Charlotte,23,-8.5,W,2,-6.5
11/19,away,Philadelphia,16,-2.5,W,9,6.5
11/21,home,Washington,30,-14.5,W,30,15.5
11/23,home,Brooklyn,25,-12.5,W,10,-2.5
11/24,home,Cleveland,9,-1.5,W,11,9.5
11/26,home,Indiana,28,-10.5,W,2,-8.5
11/29,away,Charlotte,23,-7.5,L,7,-14.5
11/30,away,New York,8,8.5,L,22,-13.5
12/02,home,Portland,20,-5.5,W,3,-2.5
12/04,home,LA Lakers,14,-2.5,L,3,-5.5
12/05,home,Charlotte,23,-6.5,L,25,-31.5
12/07,home,Boston,5,3.5,L,8,-4.5
12/09,home,New York,8,6.5,L,16,-9.5
12/15,away,Miami,12,4.5,W,10,14.5
12/18,away,Milwaukee,21,-4.5,W,6,1.5
12/20,home,Boston,5,-1.5,L,16,-17.5
12/21,away,Brooklyn,25,-3.5,L,15,-18.5
12/23,away,Miami,12,5.5,W,21,26.5
12/26,away,Washington,30,-8.5,L,21,-29.5
12/28,home,Golden State,10,4.5,W,14,18.5
12/29,home,Orlando,11,1.5,W,1,2.5
12/31,home,Denver,3,-7.5,L,3,-10.5
01/03,home,Atlanta,17,-5.5,W,17,11.5
01/05,home,Atlanta,17,-2.5,W,18,15.5
01/07,away,Charlotte,23,-2.5,W,1,-1.5
01/09,away,Boston,5,9.5,L,8,1.5
