date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Brooklyn,25,-5.0,W,19,14.0
10/25,away,Philadelphia,16,5.0,L,4,1.0
10/26,away,Washington,30,1.5,W,26,27.5
10/28,away,Miami,10,6.5,L,27,-20.5
10/30,home,Orlando,11,3.5,L,16,-12.5
11/01,home,Minnesota,8,4.5,L,17,-12.5
11/02,home,Utah,28,1.5,W,23,24.5
11/04,away,New Orleans,26,3.5,L,4,-0.5
11/07,away,Miami,10,7.5,L,18,-10.5
11/10,home,LA Lakers,14,8.5,L,10,-1.5
11/12,home,Milwaukee,21,2.5,W,11,13.5
11/14,away,Milwaukee,21,9.5,L,13,-3.5
11/15,home,Okla City,1,17.5,L,13,4.5
11/17,away,Toronto,15,8.5,L,2,6.5
11/19,away,Indiana,27,-1.5,L,9,-10.5
11/22,home,LA Clippers,17,-1.5,L,15,-16.5
11/23,away,Atlanta,18,7.5,L,3,4.5
11/26,home,New York,7,6.5,L,28,-21.5
11/28,home,Chicago,24,2.5,W,7,9.5
11/29,home,Toronto,15,7.5,W,7,14.5
12/01,away,Brooklyn,25,-4.5,L,13,-17.5
12/03,away,New York,7,9.5,L,15,-5.5
12/05,away,Toronto,15,6.5,W,25,31.5
12/07,home,Denver,3,10.5,L,9,1.5
12/12,home,Chicago,24,2.5,L,3,-0.5
12/14,away,Cleveland,9,12.5,W,8,20.5
12/18,home,Atlanta,18,4.5,W,7,11.5
12/20,away,Detroit,4,10.5,L,26,-15.5
12/22,away,Cleveland,9,9.5,L,7,2.5
12/23,home,Washington,30,-6.5,W,17,10.5
12/26,away,Orlando,11,5.5,W,15,20.5
12/29,home,Milwaukee,21,3.5,L,10,-6.5
12/31,home,Golden State,12,7.5,L,7,0.5
01/02,away,Milwaukee,21,5.5,L,1,4.5
01/03,away,Chicago,24,1.5,W,13,14.5
01/05,away,Okla City,1,15.5,W,27,42.5
